,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
0,Russian Federation,Praskoveya,51,Moderate,1,0,36,2,0,0,51,Moderate
1,Brazil,Presidente Dutra,41,Good,1,0,5,0,1,0,41,Good
2,Italy,Priolo Gargallo,66,Moderate,1,0,39,2,2,1,66,Moderate
3,Poland,Przasnysz,34,Good,1,0,34,2,0,0,20,Good
4,France,Punaauia,22,Good,0,0,22,1,0,0,6,Good
5,United States of America,Punta Gorda,54,Moderate,1,0,14,0,11,2,54,Moderate
6,Germany,Puttlingen,62,Moderate,1,0,35,2,3,1,62,Moderate
7,Belgium,Puurs,64,Moderate,1,0,29,1,7,2,64,Moderate
8,Russian Federation,Pyatigorsk,54,Moderate,1,0,41,3,1,0,54,Moderate
9,Egypt,Qalyub,142,Unhealthy for Sensitive Groups,3,1,89,3,9,2,142,Unhealthy for Sensitive Groups
10,China,Qinzhou,68,Moderate,2,1,68,3,1,0,58,Moderate
11,Netherlands,Raalte,41,Good,1,0,24,1,6,2,41,Good
12,India,Radaur,158,Unhealthy,3,1,139,3,1,0,158,Unhealthy
13,Pakistan,Radhan,158,Unhealthy,1,0,50,3,1,0,158,Unhealthy
14,Republic of North Macedonia,Radovis,83,Moderate,1,0,46,3,0,0,83,Moderate
15,France,Raismes,59,Moderate,1,0,30,1,4,1,59,Moderate
16,India,Rajgir,154,Unhealthy,3,1,100,3,2,1,154,Unhealthy
17,Italy,Ramacca,55,Moderate,1,0,47,3,0,0,55,Moderate
18,United States of America,Phoenix,72,Moderate,1,0,4,0,23,2,72,Moderate
19,India,Phulabani,161,Unhealthy,2,1,71,3,0,0,161,Unhealthy
20,Poland,Piaseczno,28,Good,1,0,28,1,2,1,28,Good
21,India,Pimpri,118,Unhealthy for Sensitive Groups,2,1,30,1,2,1,118,Unhealthy for Sensitive Groups
22,Brazil,Pindobacu,33,Good,0,0,10,0,1,0,33,Good
23,China,Pingyin,150,Unhealthy,3,1,95,3,6,2,150,Unhealthy
24,Brazil,Pinheiral,154,Unhealthy,5,1,0,0,13,2,154,Unhealthy
25,India,Piravam,81,Moderate,1,0,24,1,1,0,81,Moderate
26,Colombia,Plato,67,Moderate,1,0,16,0,2,1,67,Moderate
27,Romania,Poiana Mare,62,Moderate,1,0,37,2,1,0,62,Moderate
28,Russian Federation,Polevskoy,31,Good,1,0,31,1,0,0,17,Good
29,France,Pontarlier,56,Moderate,1,0,35,2,0,0,56,Moderate
30,United States of America,Pontiac,77,Moderate,2,1,22,1,15,2,77,Moderate
31,Indonesia,Pontianak,44,Good,1,0,15,0,0,0,44,Good
32,Brazil,Porecatu,30,Good,1,0,9,0,2,1,30,Good
33,Finland,Pori,30,Good,1,0,30,1,1,0,15,Good
