,Country,AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
0,123,51,1,1,0,36,2,0,0,51,1
1,71,41,0,1,0,5,0,1,0,41,0
2,108,66,1,1,0,39,2,2,1,66,1
3,0,34,0,1,0,34,2,0,0,20,0
4,37,22,0,0,0,22,1,0,0,6,0
5,164,54,1,1,0,14,0,11,2,54,1
6,133,62,1,1,0,35,2,3,1,62,1
7,84,64,1,1,0,29,1,7,2,64,1
8,123,54,1,1,0,41,3,1,0,54,1
9,136,142,2,3,1,89,3,9,2,142,2
10,125,68,1,2,1,68,3,1,0,58,1
11,129,41,0,1,0,24,1,6,2,41,0
12,122,158,3,3,1,139,3,1,0,158,3
13,12,158,3,1,0,50,3,1,0,158,3
14,21,83,1,1,0,46,3,0,0,83,1
15,37,59,1,1,0,30,1,4,1,59,1
16,122,154,3,3,1,100,3,2,1,154,3
17,108,55,1,1,0,47,3,0,0,55,1
18,164,72,1,1,0,4,0,23,2,72,1
19,122,161,3,2,1,71,3,0,0,161,3
20,0,28,0,1,0,28,1,2,1,28,0
21,122,118,2,2,1,30,1,2,1,118,2
22,71,33,0,0,0,10,0,1,0,33,0
23,125,150,3,3,1,95,3,6,2,150,3
24,71,154,3,5,1,0,0,13,2,154,3
25,122,81,1,1,0,24,1,1,0,81,1
26,168,67,1,1,0,16,0,2,1,67,1
27,6,62,1,1,0,37,2,1,0,62,1
28,123,31,0,1,0,31,1,0,0,17,0
29,37,56,1,1,0,35,2,0,0,56,1
30,164,77,1,2,1,22,1,15,2,77,1
31,45,44,0,1,0,15,0,0,0,44,0
32,71,30,0,1,0,9,0,2,1,30,0
33,38,30,0,1,0,30,1,1,0,15,0
34,15,79,1,3,1,18,0,5,2,79,1
35,164,34,0,1,0,19,0,7,2,34,0
36,68,51,1,1,0,20,0,5,2,51,1
37,164,77,1,1,0,34,2,0,0,77,1
38,164,61,1,1,0,32,2,3,1,61,1
39,71,32,0,1,0,7,0,2,1,32,0
40,125,64,1,3,1,64,3,4,1,64,1
41,123,29,0,0,0,29,1,0,0,25,0
42,19,51,1,1,0,23,1,0,0,51,1
43,122,247,4,3,1,162,3,1,0,247,4
44,164,45,0,1,0,32,2,7,2,45,0
45,84,36,0,1,0,25,1,3,1,36,0
46,136,81,1,2,1,81,3,4,1,56,1
47,128,124,2,2,1,15,0,5,2,124,2
48,164,72,1,1,0,26,1,2,1,72,1
49,68,55,1,0,0,32,2,1,0,55,1
50,164,31,0,0,0,31,1,0,0,25,0
51,12,157,3,1,0,89,3,0,0,157,3
52,122,60,1,1,0,31,1,1,0,60,1
53,12,153,3,1,0,40,2,0,0,153,3
54,113,22,0,0,0,19,0,0,0,22,0
55,90,30,0,1,0,17,0,0,0,30,0
56,54,44,0,1,0,34,2,0,0,44,0
57,164,47,0,1,0,37,2,4,1,47,0
58,129,37,0,0,0,32,2,2,1,37,0
59,164,44,0,1,0,14,0,8,2,44,0
60,164,58,1,2,1,14,0,24,2,58,1
61,0,37,0,0,0,33,2,0,0,37,0
62,168,89,1,3,1,3,0,6,2,89,1
63,108,52,1,2,1,38,2,7,2,52,1
64,118,59,1,2,1,16,0,0,0,59,1
65,68,51,1,1,0,25,1,6,2,51,1
66,90,66,1,1,0,26,1,1,0,66,1
67,123,38,0,1,0,38,2,0,0,13,0
68,164,34,0,1,0,30,1,7,2,34,0
69,164,88,1,2,1,11,0,20,2,88,1
70,133,54,1,1,0,31,1,3,1,54,1
71,133,44,0,1,0,28,1,3,1,44,0
72,68,51,1,1,0,26,1,6,2,51,1
73,164,67,1,2,1,15,0,23,2,67,1
74,71,42,0,1,0,5,0,2,1,42,0
75,122,189,3,2,1,99,3,1,0,189,3
76,133,49,0,1,0,25,1,3,1,49,0
77,125,203,4,5,1,203,3,5,2,151,3
78,133,35,0,0,0,32,2,0,0,35,0
79,164,90,1,1,0,25,1,2,1,90,1
80,122,67,1,1,0,26,1,1,0,67,1
81,133,36,0,0,0,34,2,1,0,36,0
82,37,48,0,1,0,28,1,4,1,48,0
83,164,41,0,1,0,28,1,10,2,41,0
84,158,19,0,0,0,19,0,1,0,17,0
85,96,73,1,1,0,43,3,0,0,73,1
86,5,45,0,0,0,18,0,1,0,45,0
87,91,170,3,1,0,43,3,0,0,170,3
88,108,47,0,1,0,47,3,1,0,36,0
89,122,155,3,3,1,82,3,1,0,155,3
90,71,46,0,1,0,9,0,1,0,46,0
91,46,172,3,5,1,2,0,11,2,172,3
92,46,64,1,1,0,15,0,2,1,64,1
93,108,44,0,1,0,44,3,1,0,38,0
94,5,150,3,3,1,150,3,1,0,105,2
95,125,142,2,4,1,113,3,9,2,142,2
96,45,21,0,0,0,13,0,0,0,21,0
97,6,47,0,1,0,42,3,0,0,47,0
98,96,48,0,1,0,48,3,1,0,29,0
99,90,54,1,1,0,20,0,0,0,54,1
100,64,60,1,1,0,44,3,3,1,60,1
101,46,166,3,4,1,8,0,19,2,166,3
102,71,27,0,0,0,23,1,1,0,27,0
103,71,23,0,1,0,7,0,1,0,23,0
104,71,31,0,1,0,13,0,0,0,31,0
105,46,88,1,3,1,13,0,9,2,88,1
106,140,90,1,2,1,22,1,9,2,90,1
107,19,28,0,1,0,15,0,0,0,28,0
108,123,51,1,1,0,38,2,0,0,51,1
109,122,170,3,1,0,38,2,0,0,170,3
110,71,22,0,0,0,9,0,1,0,22,0
111,122,168,3,4,1,168,3,1,0,156,3
112,137,40,0,1,0,40,2,0,0,32,0
113,0,47,0,1,0,27,1,2,1,47,0
114,90,59,1,1,0,32,2,0,0,59,1
115,18,133,2,4,1,23,1,3,1,133,2
116,38,29,0,1,0,29,1,1,0,7,0
117,71,73,1,2,1,2,0,8,2,73,1
118,90,50,0,0,0,24,1,0,0,50,0
119,71,25,0,0,0,9,0,1,0,25,0
120,18,90,1,3,1,18,0,2,1,90,1
121,46,81,1,2,1,26,1,3,1,81,1
122,71,29,0,0,0,20,0,1,0,29,0
123,71,21,0,0,0,8,0,1,0,21,0
124,71,44,0,1,0,16,0,1,0,44,0
125,57,65,1,1,0,12,0,0,0,65,1
126,66,66,1,2,1,7,0,6,2,66,1
127,164,53,1,1,0,28,1,10,2,53,1
128,164,56,1,0,0,23,1,0,0,56,1
129,119,57,1,1,0,26,1,3,1,57,1
130,65,62,1,0,0,35,2,0,0,62,1
131,5,167,3,4,1,167,3,1,0,107,2
132,164,49,0,1,0,27,1,4,1,49,0
133,164,55,1,2,1,25,1,11,2,55,1
134,123,34,0,1,0,34,2,0,0,32,0
135,122,80,1,1,0,25,1,0,0,80,1
136,122,163,3,2,1,92,3,0,0,163,3
137,164,126,2,4,1,3,0,36,2,126,2
138,164,63,1,2,1,9,0,22,2,63,1
139,164,53,1,2,1,27,1,10,2,53,1
140,164,86,1,2,1,38,2,10,2,86,1
141,125,47,0,2,1,47,3,0,0,25,0
142,125,78,1,2,1,25,1,7,2,78,1
143,125,61,1,2,1,61,3,0,0,54,1
144,125,112,2,2,1,44,3,4,1,112,2
145,26,27,0,0,0,6,0,1,0,27,0
146,125,155,3,3,1,155,3,2,1,151,3
147,97,121,2,4,1,24,1,0,0,121,2
148,125,160,3,3,1,138,3,5,2,160,3
149,125,144,2,4,1,109,3,9,2,144,2
150,125,69,1,2,1,48,3,0,0,69,1
151,164,47,0,1,0,34,2,3,1,47,0
152,133,69,1,1,0,34,2,4,1,69,1
153,164,84,1,3,1,9,0,24,2,84,1
154,84,64,1,1,0,32,2,6,2,64,1
155,110,20,0,1,0,20,0,1,0,10,0
156,119,38,0,1,0,30,1,3,1,38,0
157,51,59,1,1,0,27,1,3,1,59,1
158,133,67,1,1,0,30,1,5,2,67,1
159,164,75,1,2,1,13,0,16,2,75,1
160,164,60,1,2,1,18,0,21,2,60,1
161,71,22,0,1,0,13,0,0,0,22,0
162,154,36,0,1,0,36,2,0,0,25,0
163,164,41,0,1,0,30,1,8,2,41,0
164,133,44,0,1,0,28,1,2,1,44,0
165,64,29,0,1,0,26,1,1,0,29,0
166,125,168,3,3,1,168,3,5,2,99,1
167,68,25,0,1,0,25,1,3,1,23,0
168,133,41,0,1,0,26,1,4,1,41,0
169,133,36,0,0,0,33,2,1,0,36,0
170,148,59,1,2,1,12,0,0,0,59,1
171,113,98,1,0,0,17,0,0,0,98,1
172,129,35,0,0,0,33,2,2,1,35,0
173,62,29,0,0,0,29,1,0,0,13,0
174,133,51,1,1,0,29,1,3,1,51,1
175,168,103,2,4,1,9,0,6,2,103,2
176,123,35,0,1,0,35,2,0,0,17,0
177,68,35,0,1,0,30,1,4,1,35,0
178,111,27,0,0,0,27,1,2,1,21,0
179,123,48,0,1,0,39,2,1,0,48,0
180,122,307,5,1,0,45,3,0,0,307,5
181,11,54,1,1,0,25,1,0,0,54,1
182,164,61,1,2,1,26,1,16,2,61,1
183,7,36,0,1,0,36,2,1,0,30,0
184,164,42,0,1,0,42,3,2,1,37,0
185,133,42,0,0,0,32,2,1,0,42,0
186,125,151,3,4,1,45,3,4,1,151,3
187,13,102,2,1,0,23,1,0,0,102,2
188,18,115,2,3,1,24,1,2,1,115,2
189,108,64,1,1,0,53,3,1,0,64,1
190,133,40,0,1,0,30,1,2,1,40,0
191,64,45,0,1,0,45,3,0,0,38,0
192,105,65,1,1,0,34,2,0,0,65,1
193,45,17,0,1,0,13,0,0,0,17,0
194,123,52,1,1,0,39,2,1,0,52,1
195,64,69,1,1,0,69,3,1,0,60,1
196,0,44,0,1,0,33,2,1,0,44,0
197,87,50,0,1,0,41,3,1,0,50,0
198,87,72,1,1,0,42,3,1,0,72,1
199,96,49,0,1,0,49,3,1,0,32,0
200,122,127,2,2,1,65,3,1,0,127,2
201,91,125,2,2,1,125,3,1,0,82,1
202,90,41,0,1,0,25,1,1,0,41,0
203,64,52,1,1,0,34,2,3,1,52,1
204,64,47,0,1,0,47,3,1,0,44,0
205,64,36,0,1,0,36,2,3,1,34,0
206,122,155,3,1,0,39,2,0,0,155,3
207,90,37,0,1,0,19,0,0,0,37,0
208,123,46,0,1,0,27,1,1,0,46,0
209,4,69,1,1,0,42,3,0,0,69,1
210,164,64,1,1,0,18,0,12,2,64,1
211,169,92,1,2,1,52,3,8,2,92,1
212,64,58,1,1,0,43,3,3,1,58,1
213,6,41,0,1,0,41,3,0,0,38,0
214,90,35,0,1,0,20,0,0,0,35,0
215,45,88,1,2,1,53,3,1,0,88,1
216,65,45,0,0,0,45,3,0,0,43,0
217,122,102,2,1,0,38,2,0,0,102,2
218,68,58,1,1,0,24,1,7,2,58,1
219,125,143,2,2,1,35,2,5,2,143,2
220,125,187,3,2,1,36,2,8,2,187,3
221,0,35,0,1,0,35,2,0,0,17,0
222,0,48,0,1,0,35,2,1,0,48,0
223,84,58,1,1,0,29,1,6,2,58,1
224,84,65,1,1,0,27,1,8,2,65,1
225,125,73,1,2,1,66,3,0,0,73,1
226,125,160,3,4,1,36,2,13,2,160,3
227,125,98,1,3,1,33,2,9,2,98,1
228,125,156,3,4,1,45,3,10,2,156,3
229,46,75,1,2,1,9,0,6,2,75,1
230,46,163,3,4,1,8,0,18,2,163,3
231,123,35,0,1,0,35,2,0,0,21,0
232,129,30,0,0,0,30,1,2,1,29,0
233,155,47,0,1,0,21,0,2,1,47,0
234,108,69,1,1,0,37,2,4,1,69,1
235,11,105,2,4,1,15,0,4,1,105,2
236,46,189,3,2,1,9,0,15,2,189,3
237,164,64,1,2,1,37,2,8,2,64,1
238,164,54,1,1,0,32,2,5,2,54,1
239,122,198,3,4,1,198,3,3,1,188,3
240,18,139,2,7,1,13,0,5,2,139,2
241,37,55,1,1,0,26,1,3,1,55,1
242,52,145,2,1,0,46,3,0,0,145,2
243,164,80,1,1,0,18,0,10,2,80,1
244,123,50,0,1,0,36,2,1,0,50,0
245,84,35,0,1,0,25,1,3,1,35,0
246,110,55,1,1,0,27,1,0,0,55,1
247,71,13,0,1,0,12,0,1,0,13,0
248,155,48,0,1,0,23,1,3,1,48,0
249,117,28,0,0,0,28,1,0,0,13,0
250,133,50,0,1,0,29,1,3,1,50,0
251,166,26,0,0,0,26,1,0,0,20,0
252,125,107,2,2,1,107,3,5,2,86,1
253,166,22,0,0,0,22,1,0,0,20,0
254,164,76,1,3,1,7,0,25,2,76,1
255,114,47,0,1,0,32,2,0,0,47,0
256,22,104,2,2,1,14,0,1,0,104,2
257,46,60,1,1,0,16,0,5,2,60,1
258,71,32,0,1,0,3,0,2,1,32,0
259,123,28,0,1,0,28,1,1,0,15,0
260,37,34,0,0,0,28,1,2,1,34,0
261,123,28,0,1,0,28,1,1,0,19,0
262,102,48,0,1,0,35,2,0,0,48,0
263,167,39,0,1,0,29,1,1,0,39,0
264,13,97,1,1,0,14,0,0,0,97,1
265,91,75,1,1,0,37,2,0,0,75,1
266,122,194,3,1,0,44,3,0,0,194,3
267,66,104,2,3,1,5,0,10,2,104,2
268,108,57,1,1,0,40,2,3,1,57,1
269,79,41,0,1,0,41,3,3,1,27,0
270,111,37,0,1,0,16,0,7,2,37,0
271,39,59,1,1,0,34,2,0,0,59,1
272,68,29,0,1,0,29,1,2,1,20,0
273,129,34,0,0,0,34,2,1,0,26,0
274,143,70,1,1,0,41,3,0,0,70,1
275,133,32,0,0,0,30,1,1,0,32,0
276,12,500,5,1,0,38,2,1,0,466,5
277,15,380,5,31,1,1,0,26,2,380,5
278,15,222,4,12,1,5,0,14,2,222,4
279,105,52,1,0,0,28,1,0,0,52,1
280,39,76,1,1,0,39,2,0,0,76,1
281,90,27,0,0,0,23,1,0,0,27,0
282,58,59,1,1,0,26,1,2,1,59,1
283,133,38,0,0,0,28,1,2,1,38,0
284,164,56,1,1,0,23,1,6,2,56,1
285,44,127,2,1,0,18,0,0,0,127,2
286,12,117,2,1,0,117,3,1,0,78,1
287,39,92,1,2,1,57,3,1,0,92,1
288,122,182,3,5,1,170,3,5,2,182,3
289,108,124,2,2,1,32,2,7,2,124,2
290,108,68,1,2,1,68,3,6,2,57,1
291,90,68,1,1,0,26,1,0,0,68,1
292,72,39,0,1,0,4,0,2,1,39,0
293,109,50,0,1,0,33,2,0,0,50,0
294,108,103,2,1,0,33,2,6,2,103,2
295,108,38,0,1,0,36,2,5,2,38,0
296,67,61,1,1,0,38,2,1,0,61,1
297,1,17,0,0,0,17,0,1,0,17,0
298,26,21,0,0,0,4,0,0,0,21,0
299,37,32,0,1,0,32,2,1,0,20,0
300,125,151,3,3,1,119,3,1,0,151,3
301,5,57,1,1,0,32,2,0,0,57,1
302,123,38,0,1,0,38,2,0,0,35,0
303,123,49,0,1,0,40,2,0,0,49,0
304,122,171,3,1,0,42,3,0,0,171,3
305,122,91,1,1,0,28,1,1,0,91,1
306,46,72,1,2,1,4,0,5,2,72,1
307,122,153,3,2,1,22,1,6,2,153,3
308,0,59,1,1,0,25,1,2,1,59,1
309,122,157,3,0,0,31,1,1,0,157,3
310,164,73,1,1,0,32,2,2,1,73,1
311,71,71,1,2,1,3,0,6,2,71,1
312,71,17,0,0,0,17,0,0,0,11,0
313,71,46,0,1,0,2,0,0,0,46,0
314,68,35,0,1,0,12,0,9,2,35,0
315,119,24,0,0,0,24,1,1,0,16,0
316,71,45,0,1,0,14,0,2,1,45,0
317,6,61,1,1,0,40,2,0,0,61,1
318,42,65,1,1,0,12,0,6,2,65,1
319,108,112,2,1,0,34,2,4,1,112,2
320,71,19,0,0,0,19,0,0,0,11,0
321,68,31,0,0,0,31,1,2,1,22,0
322,164,152,3,4,1,4,0,19,2,152,3
323,164,31,0,1,0,21,0,1,0,31,0
324,71,37,0,1,0,12,0,1,0,37,0
325,1,13,0,1,0,12,0,0,0,13,0
326,46,41,0,1,0,8,0,3,1,41,0
327,108,103,2,2,1,28,1,9,2,103,2
328,102,52,1,1,0,35,2,0,0,52,1
329,155,30,0,0,0,30,1,2,1,13,0
330,122,73,1,0,0,25,1,0,0,73,1
331,71,42,0,1,0,2,0,4,1,42,0
332,133,35,0,0,0,35,2,0,0,30,0
333,164,46,0,1,0,25,1,5,2,46,0
334,0,93,1,1,0,27,1,4,1,93,1
335,30,63,1,2,1,13,0,0,0,63,1
336,12,160,3,0,0,39,2,0,0,160,3
337,37,39,0,1,0,26,1,1,0,39,0
338,164,56,1,1,0,18,0,6,2,56,1
339,22,105,2,2,1,13,0,2,1,105,2
340,125,93,1,2,1,90,3,1,0,93,1
341,71,45,0,0,0,22,1,0,0,45,0
342,94,54,1,1,0,8,0,1,0,54,1
343,133,36,0,0,0,29,1,2,1,36,0
344,164,50,0,1,0,35,2,5,2,50,0
345,122,153,3,1,0,34,2,0,0,153,3
346,164,48,0,1,0,36,2,5,2,48,0
347,123,24,0,0,0,24,1,0,0,24,0
348,126,132,2,3,1,44,3,4,1,132,2
349,12,179,3,3,1,179,3,2,1,166,3
350,122,124,2,1,0,36,2,1,0,124,2
351,122,202,4,0,0,34,2,0,0,202,4
352,122,151,3,1,0,26,1,1,0,151,3
353,45,92,1,2,1,45,3,0,0,92,1
354,71,39,0,1,0,5,0,0,0,39,0
355,123,48,0,1,0,39,2,1,0,48,0
356,151,52,1,2,1,17,0,0,0,52,1
357,168,104,2,1,0,16,0,2,1,104,2
358,90,51,1,1,0,27,1,1,0,51,1
359,91,91,1,1,0,49,3,0,0,91,1
360,122,167,3,1,0,32,2,0,0,167,3
361,105,38,0,0,0,20,0,0,0,38,0
362,105,57,1,0,0,25,1,0,0,57,1
363,129,41,0,1,0,27,1,5,2,41,0
364,164,78,1,1,0,11,0,12,2,78,1
365,164,47,0,1,0,46,3,2,1,47,0
366,68,29,0,0,0,29,1,3,1,18,0
367,143,60,1,1,0,34,2,1,0,60,1
368,129,37,0,1,0,32,2,3,1,37,0
369,53,61,1,2,1,2,0,9,2,61,1
370,49,67,1,2,1,20,0,5,2,67,1
371,46,46,0,1,0,17,0,2,1,46,0
372,164,79,1,2,1,13,0,27,2,79,1
373,164,53,1,1,0,24,1,9,2,53,1
374,22,81,1,1,0,18,0,0,0,81,1
375,64,39,0,1,0,38,2,2,1,39,0
376,133,34,0,1,0,34,2,2,1,27,0
377,21,42,0,1,0,41,3,0,0,42,0
